# DERIVED by tools/build_reachable.py -- do not hand-edit.
# Every pair of chargeable natural shelf rows, expanded to a fixpoint
# with all 67 'family' templates and a 400-species cap.
# a | b | species | reactions | stop | frontier
#
# A capped pair is a LOWER bound on its own reaction count, and the
# total is a lower bound on what a shelf holds: a reaction needing a
# third starting material is invisible to a sweep over pairs.
#! natural_rows = 37
#! pairs = 666
#! distinct_reactions = 23140
#! templates_fired = 37
#! capped_pairs = 271
#! inert_pairs = 347
#! crashed_pairs = 0
#! templates = 67
#! tier = family
#! silent_templates = alcohol_halide_substitution, aldofuranose_dehydration, alkene_hydrodimerisation, alkyne_hydration, allylic_ammoxidation, amide_methylolation, aromatic_nitration, cannizzaro_disproportionation, carbanion_alkylation, cyanide_imine_addition, hydroformylation_branched, hydroformylation_linear, hydroxymethylfurfural_rehydration, intramolecular_williamson, ketene_acid_addition, ketofuranose_dehydration, knoevenagel_doebner_condensation, kolbe_schmitt_carboxylation, methane_ammoxidation, mineral_oxyacid_dissociation, n_acylation, nitric_oxide_reoxidation, nitro_hydrogenation, perkin_condensation, skraup_cyclisation, steam_reforming, sulfur_dioxide_oxidation_by_nitrogen_dioxide, sulfur_trioxide_hydration, wacker_oxidation, williamson_ether_synthesis
# the ten busiest templates, distinct reactions each
# (a reverse counts toward its forward, as in templates_fired):
#    10270  ether_condensation
#     9238  fischer_esterification
#     2455  friedel_crafts_hydroxyalkylation
#      520  transesterification
#      316  alkene_hydration
#       66  alkene_dehydration
#       54  ester_hydrolysis
#       40  aerobic_oxidation
#       33  alkene_hydrogenation
#       30  carboxylic_acid_dissociation
#
calcium-carbonate | calcium-sulfate | 10 | 0 | fixpoint | 0
calcium-carbonate | carbon-dioxide | 9 | 0 | fixpoint | 0
calcium-carbonate | carbon-graphite | 9 | 0 | fixpoint | 0
calcium-carbonate | cellulose-unit | 400 | 737 | capped | 371
calcium-carbonate | citronellal | 9 | 0 | fixpoint | 0
calcium-carbonate | copper-sulfide | 9 | 0 | fixpoint | 0
calcium-carbonate | eugenol | 9 | 0 | fixpoint | 0
calcium-carbonate | glucose | 400 | 737 | capped | 371
calcium-carbonate | gypsum | 15 | 4 | fixpoint | 0
calcium-carbonate | indican | 400 | 480 | capped | 380
calcium-carbonate | iron-ii-sulfate | 9 | 0 | fixpoint | 0
calcium-carbonate | iron-ii-sulfide | 10 | 0 | fixpoint | 0
calcium-carbonate | iron-iii-oxide | 8 | 0 | fixpoint | 0
calcium-carbonate | lead-sulfide | 9 | 0 | fixpoint | 0
calcium-carbonate | lignin-monomer-coniferyl | 400 | 518 | capped | 331
calcium-carbonate | magnesium-carbonate | 10 | 0 | fixpoint | 0
calcium-carbonate | mercury-sulfide | 9 | 0 | fixpoint | 0
calcium-carbonate | nitrogen | 9 | 0 | fixpoint | 0
calcium-carbonate | oleic-acid | 9 | 0 | fixpoint | 0
calcium-carbonate | oxygen | 9 | 0 | fixpoint | 0
calcium-carbonate | potassium-nitrate | 10 | 0 | fixpoint | 0
calcium-carbonate | salicin | 400 | 630 | capped | 375
calcium-carbonate | silver | 9 | 0 | fixpoint | 0
calcium-carbonate | sodium-chloride | 10 | 0 | fixpoint | 0
calcium-carbonate | sodium-nitrate | 10 | 0 | fixpoint | 0
calcium-carbonate | starch-unit | 400 | 737 | capped | 371
calcium-carbonate | sucrose | 400 | 402 | capped | 354
calcium-carbonate | sulfur-s8 | 9 | 0 | fixpoint | 0
calcium-carbonate | tannic-acid-core | 400 | 421 | capped | 373
calcium-carbonate | triolein | 9 | 0 | fixpoint | 0
calcium-carbonate | water | 13 | 4 | fixpoint | 0
calcium-carbonate | zinc-sulfide | 9 | 0 | fixpoint | 0
calcium-fluoride | calcium-phosphate | 10 | 0 | fixpoint | 0
calcium-fluoride | calcium-sulfate | 10 | 0 | fixpoint | 0
calcium-fluoride | carbon-dioxide | 10 | 0 | fixpoint | 0
calcium-fluoride | carbon-graphite | 10 | 0 | fixpoint | 0
calcium-fluoride | cellulose-unit | 400 | 736 | capped | 370
calcium-fluoride | citronellal | 10 | 0 | fixpoint | 0
calcium-fluoride | copper-sulfide | 10 | 0 | fixpoint | 0
calcium-fluoride | eugenol | 10 | 0 | fixpoint | 0
calcium-fluoride | glucose | 400 | 736 | capped | 370
calcium-fluoride | gypsum | 15 | 4 | fixpoint | 0
calcium-fluoride | indican | 400 | 479 | capped | 379
calcium-fluoride | iron-ii-sulfate | 10 | 0 | fixpoint | 0
calcium-fluoride | iron-ii-sulfide | 11 | 0 | fixpoint | 0
calcium-fluoride | iron-iii-oxide | 9 | 0 | fixpoint | 0
calcium-fluoride | lead-sulfide | 10 | 0 | fixpoint | 0
calcium-fluoride | lignin-monomer-coniferyl | 400 | 517 | capped | 330
calcium-fluoride | magnesium-carbonate | 11 | 0 | fixpoint | 0
calcium-fluoride | mercury-sulfide | 10 | 0 | fixpoint | 0
calcium-fluoride | nitrogen | 10 | 0 | fixpoint | 0
calcium-fluoride | oleic-acid | 10 | 0 | fixpoint | 0
calcium-fluoride | oxygen | 10 | 0 | fixpoint | 0
calcium-fluoride | potassium-nitrate | 11 | 0 | fixpoint | 0
calcium-fluoride | salicin | 400 | 629 | capped | 374
calcium-fluoride | silver | 10 | 0 | fixpoint | 0
calcium-fluoride | sodium-chloride | 11 | 0 | fixpoint | 0
calcium-fluoride | sodium-nitrate | 11 | 0 | fixpoint | 0
calcium-fluoride | starch-unit | 400 | 736 | capped | 370
calcium-fluoride | sucrose | 400 | 401 | capped | 353
calcium-fluoride | sulfur-s8 | 10 | 0 | fixpoint | 0
calcium-fluoride | tannic-acid-core | 400 | 420 | capped | 372
calcium-fluoride | triolein | 10 | 0 | fixpoint | 0
calcium-fluoride | water | 14 | 4 | fixpoint | 0
calcium-fluoride | zinc-sulfide | 10 | 0 | fixpoint | 0
calcium-phosphate | calcium-sulfate | 10 | 0 | fixpoint | 0
calcium-phosphate | carbon-dioxide | 10 | 0 | fixpoint | 0
calcium-phosphate | carbon-graphite | 10 | 0 | fixpoint | 0
calcium-phosphate | cellulose-unit | 400 | 736 | capped | 370
calcium-phosphate | citronellal | 10 | 0 | fixpoint | 0
calcium-phosphate | copper-sulfide | 10 | 0 | fixpoint | 0
calcium-phosphate | eugenol | 10 | 0 | fixpoint | 0
