# DERIVED by tools/build_reachable.py -- do not hand-edit.
# Every pair of chargeable natural shelf rows, expanded to a fixpoint
# with all 67 'family' templates and a 400-species cap.
# a | b | species | reactions | stop | frontier
#
# A capped pair is a LOWER bound on its own reaction count, and the
# total is a lower bound on what a shelf holds: a reaction needing a
# third starting material is invisible to a sweep over pairs.
#! natural_rows = 37
#! pairs = 666
#! distinct_reactions = 23140
#! templates_fired = 37
#! capped_pairs = 271
#! inert_pairs = 347
#! crashed_pairs = 0
#! templates = 67
#! tier = family
#! silent_templates = alcohol_halide_substitution, aldofuranose_dehydration, alkene_hydrodimerisation, alkyne_hydration, allylic_ammoxidation, amide_methylolation, aromatic_nitration, cannizzaro_disproportionation, carbanion_alkylation, cyanide_imine_addition, hydroformylation_branched, hydroformylation_linear, hydroxymethylfurfural_rehydration, intramolecular_williamson, ketene_acid_addition, ketofuranose_dehydration, knoevenagel_doebner_condensation, kolbe_schmitt_carboxylation, methane_ammoxidation, mineral_oxyacid_dissociation, n_acylation, nitric_oxide_reoxidation, nitro_hydrogenation, perkin_condensation, skraup_cyclisation, steam_reforming, sulfur_dioxide_oxidation_by_nitrogen_dioxide, sulfur_trioxide_hydration, wacker_oxidation, williamson_ether_synthesis
# the ten busiest templates, distinct reactions each
# (a reverse counts toward its forward, as in templates_fired):
#    10270  ether_condensation
#     9238  fischer_esterification
#     2455  friedel_crafts_hydroxyalkylation
#      520  transesterification
#      316  alkene_hydration
#       66  alkene_dehydration
#       54  ester_hydrolysis
#       40  aerobic_oxidation
#       33  alkene_hydrogenation
#       30  carboxylic_acid_dissociation
#
citronellal | tannic-acid-core | 400 | 421 | capped | 370
citronellal | triolein | 9 | 0 | fixpoint | 0
citronellal | water | 400 | 881 | capped | 279
citronellal | zinc-sulfide | 9 | 0 | fixpoint | 0
copper-sulfide | eugenol | 9 | 0 | fixpoint | 0
copper-sulfide | glucose | 400 | 737 | capped | 371
copper-sulfide | gypsum | 15 | 4 | fixpoint | 0
copper-sulfide | indican | 400 | 480 | capped | 380
copper-sulfide | iron-ii-sulfate | 9 | 0 | fixpoint | 0
copper-sulfide | iron-ii-sulfide | 10 | 0 | fixpoint | 0
copper-sulfide | iron-iii-oxide | 8 | 0 | fixpoint | 0
copper-sulfide | lead-sulfide | 9 | 0 | fixpoint | 0
copper-sulfide | lignin-monomer-coniferyl | 400 | 518 | capped | 331
copper-sulfide | magnesium-carbonate | 10 | 0 | fixpoint | 0
copper-sulfide | mercury-sulfide | 9 | 0 | fixpoint | 0
copper-sulfide | nitrogen | 9 | 0 | fixpoint | 0
copper-sulfide | oleic-acid | 9 | 0 | fixpoint | 0
copper-sulfide | oxygen | 9 | 0 | fixpoint | 0
copper-sulfide | potassium-nitrate | 10 | 0 | fixpoint | 0
copper-sulfide | salicin | 400 | 630 | capped | 375
copper-sulfide | silver | 9 | 0 | fixpoint | 0
copper-sulfide | sodium-chloride | 10 | 0 | fixpoint | 0
copper-sulfide | sodium-nitrate | 10 | 0 | fixpoint | 0
copper-sulfide | starch-unit | 400 | 737 | capped | 371
copper-sulfide | sucrose | 400 | 402 | capped | 354
copper-sulfide | sulfur-s8 | 9 | 0 | fixpoint | 0
copper-sulfide | tannic-acid-core | 400 | 421 | capped | 373
copper-sulfide | triolein | 9 | 0 | fixpoint | 0
copper-sulfide | water | 13 | 4 | fixpoint | 0
copper-sulfide | zinc-sulfide | 9 | 0 | fixpoint | 0
eugenol | glucose | 400 | 737 | capped | 371
eugenol | gypsum | 400 | 395 | capped | 374
eugenol | indican | 400 | 480 | capped | 380
eugenol | iron-ii-sulfate | 9 | 0 | fixpoint | 0
eugenol | iron-ii-sulfide | 10 | 0 | fixpoint | 0
eugenol | iron-iii-oxide | 8 | 0 | fixpoint | 0
eugenol | lead-sulfide | 9 | 0 | fixpoint | 0
eugenol | lignin-monomer-coniferyl | 400 | 584 | capped | 311
eugenol | magnesium-carbonate | 10 | 0 | fixpoint | 0
eugenol | mercury-sulfide | 9 | 0 | fixpoint | 0
eugenol | nitrogen | 9 | 0 | fixpoint | 0
eugenol | oleic-acid | 400 | 569 | capped | 113
eugenol | oxygen | 9 | 0 | fixpoint | 0
eugenol | potassium-nitrate | 10 | 0 | fixpoint | 0
eugenol | salicin | 400 | 630 | capped | 375
eugenol | silver | 9 | 0 | fixpoint | 0
eugenol | sodium-chloride | 10 | 0 | fixpoint | 0
eugenol | sodium-nitrate | 10 | 0 | fixpoint | 0
eugenol | starch-unit | 400 | 737 | capped | 371
eugenol | sucrose | 400 | 402 | capped | 354
eugenol | sulfur-s8 | 9 | 0 | fixpoint | 0
eugenol | tannic-acid-core | 400 | 421 | capped | 349
eugenol | triolein | 400 | 443 | capped | 378
eugenol | water | 400 | 397 | capped | 376
eugenol | zinc-sulfide | 9 | 0 | fixpoint | 0
glucose | gypsum | 400 | 736 | capped | 365
glucose | indican | 400 | 690 | capped | 341
glucose | iron-ii-sulfate | 400 | 737 | capped | 371
glucose | iron-ii-sulfide | 400 | 736 | capped | 370
glucose | iron-iii-oxide | 400 | 738 | capped | 372
glucose | lead-sulfide | 400 | 737 | capped | 371
glucose | lignin-monomer-coniferyl | 400 | 640 | capped | 365
glucose | magnesium-carbonate | 400 | 736 | capped | 370
glucose | mercury-sulfide | 400 | 737 | capped | 371
glucose | nitrogen | 400 | 737 | capped | 371
glucose | oleic-acid | 400 | 774 | capped | 366
glucose | oxygen | 400 | 740 | capped | 369
glucose | potassium-nitrate | 400 | 736 | capped | 370
glucose | salicin | 400 | 720 | capped | 331
glucose | silver | 400 | 737 | capped | 371
glucose | sodium-chloride | 400 | 736 | capped | 370
glucose | sodium-nitrate | 400 | 736 | capped | 370
glucose | starch-unit | 400 | 723 | capped | 331
glucose | sucrose | 400 | 684 | capped | 295
glucose | sulfur-s8 | 400 | 737 | capped | 371
glucose | tannic-acid-core | 400 | 723 | capped | 336
glucose | triolein | 400 | 661 | capped | 364
glucose | water | 400 | 738 | capped | 367
glucose | zinc-sulfide | 400 | 737 | capped | 371
gypsum | indican | 400 | 478 | capped | 373
gypsum | iron-ii-sulfate | 15 | 4 | fixpoint | 0
gypsum | iron-ii-sulfide | 20 | 11 | fixpoint | 0
gypsum | iron-iii-oxide | 14 | 4 | fixpoint | 0
gypsum | lead-sulfide | 15 | 4 | fixpoint | 0
gypsum | lignin-monomer-coniferyl | 400 | 445 | capped | 351
gypsum | magnesium-carbonate | 16 | 4 | fixpoint | 0
gypsum | mercury-sulfide | 15 | 4 | fixpoint | 0
gypsum | nitrogen | 17 | 8 | fixpoint | 0
gypsum | oleic-acid | 400 | 1087 | capped | 207
gypsum | oxygen | 14 | 4 | fixpoint | 0
gypsum | potassium-nitrate | 16 | 4 | fixpoint | 0
gypsum | salicin | 400 | 628 | capped | 368
gypsum | silver | 15 | 4 | fixpoint | 0
gypsum | sodium-chloride | 19 | 12 | fixpoint | 0
gypsum | sodium-nitrate | 16 | 4 | fixpoint | 0
gypsum | starch-unit | 400 | 736 | capped | 365
gypsum | sucrose | 400 | 400 | capped | 347
gypsum | sulfur-s8 | 16 | 5 | fixpoint | 0
gypsum | tannic-acid-core | 400 | 527 | capped | 367
gypsum | triolein | 400 | 894 | capped | 298
gypsum | water | 14 | 4 | fixpoint | 0
gypsum | zinc-sulfide | 15 | 4 | fixpoint | 0
indican | iron-ii-sulfate | 400 | 480 | capped | 380
indican | iron-ii-sulfide | 400 | 479 | capped | 379
indican | iron-iii-oxide | 400 | 481 | capped | 381
indican | lead-sulfide | 400 | 480 | capped | 380
indican | lignin-monomer-coniferyl | 400 | 534 | capped | 375
indican | magnesium-carbonate | 400 | 479 | capped | 379
indican | mercury-sulfide | 400 | 480 | capped | 380
indican | nitrogen | 400 | 480 | capped | 380
indican | oleic-acid | 400 | 713 | capped | 361
indican | oxygen | 400 | 479 | capped | 378
indican | potassium-nitrate | 400 | 479 | capped | 379
indican | salicin | 400 | 528 | capped | 345
indican | silver | 400 | 480 | capped | 380
indican | sodium-chloride | 400 | 479 | capped | 379
indican | sodium-nitrate | 400 | 479 | capped | 379
indican | starch-unit | 400 | 694 | capped | 341
indican | sucrose | 400 | 495 | capped | 312
indican | sulfur-s8 | 400 | 480 | capped | 380
indican | tannic-acid-core | 400 | 487 | capped | 297
indican | triolein | 400 | 490 | capped | 344
indican | water | 400 | 480 | capped | 375
indican | zinc-sulfide | 400 | 480 | capped | 380
iron-ii-sulfate | iron-ii-sulfide | 10 | 0 | fixpoint | 0
iron-ii-sulfate | iron-iii-oxide | 8 | 0 | fixpoint | 0
iron-ii-sulfate | lead-sulfide | 9 | 0 | fixpoint | 0
iron-ii-sulfate | lignin-monomer-coniferyl | 400 | 518 | capped | 331
iron-ii-sulfate | magnesium-carbonate | 10 | 0 | fixpoint | 0
iron-ii-sulfate | mercury-sulfide | 9 | 0 | fixpoint | 0
iron-ii-sulfate | nitrogen | 9 | 0 | fixpoint | 0
iron-ii-sulfate | oleic-acid | 9 | 0 | fixpoint | 0
iron-ii-sulfate | oxygen | 9 | 0 | fixpoint | 0
iron-ii-sulfate | potassium-nitrate | 10 | 0 | fixpoint | 0
iron-ii-sulfate | salicin | 400 | 630 | capped | 375
iron-ii-sulfate | silver | 9 | 0 | fixpoint | 0
iron-ii-sulfate | sodium-chloride | 10 | 0 | fixpoint | 0
iron-ii-sulfate | sodium-nitrate | 10 | 0 | fixpoint | 0
iron-ii-sulfate | starch-unit | 400 | 737 | capped | 371
iron-ii-sulfate | sucrose | 400 | 402 | capped | 354
iron-ii-sulfate | sulfur-s8 | 9 | 0 | fixpoint | 0
iron-ii-sulfate | tannic-acid-core | 400 | 421 | capped | 373
iron-ii-sulfate | triolein | 9 | 0 | fixpoint | 0
iron-ii-sulfate | water | 13 | 4 | fixpoint | 0
iron-ii-sulfate | zinc-sulfide | 9 | 0 | fixpoint | 0
iron-ii-sulfide | iron-iii-oxide | 9 | 0 | fixpoint | 0
iron-ii-sulfide | lead-sulfide | 10 | 0 | fixpoint | 0
iron-ii-sulfide | lignin-monomer-coniferyl | 400 | 518 | capped | 329
iron-ii-sulfide | magnesium-carbonate | 11 | 0 | fixpoint | 0
iron-ii-sulfide | mercury-sulfide | 10 | 0 | fixpoint | 0
iron-ii-sulfide | nitrogen | 10 | 0 | fixpoint | 0
iron-ii-sulfide | oleic-acid | 10 | 0 | fixpoint | 0
iron-ii-sulfide | oxygen | 10 | 0 | fixpoint | 0
iron-ii-sulfide | potassium-nitrate | 11 | 0 | fixpoint | 0
iron-ii-sulfide | salicin | 400 | 629 | capped | 374
iron-ii-sulfide | silver | 10 | 0 | fixpoint | 0
iron-ii-sulfide | sodium-chloride | 11 | 0 | fixpoint | 0
iron-ii-sulfide | sodium-nitrate | 11 | 0 | fixpoint | 0
iron-ii-sulfide | starch-unit | 400 | 736 | capped | 370
iron-ii-sulfide | sucrose | 400 | 401 | capped | 353
iron-ii-sulfide | sulfur-s8 | 10 | 0 | fixpoint | 0
iron-ii-sulfide | tannic-acid-core | 400 | 420 | capped | 372
iron-ii-sulfide | triolein | 10 | 0 | fixpoint | 0
iron-ii-sulfide | water | 18 | 11 | fixpoint | 0
iron-ii-sulfide | zinc-sulfide | 10 | 0 | fixpoint | 0
iron-iii-oxide | lead-sulfide | 8 | 0 | fixpoint | 0
iron-iii-oxide | lignin-monomer-coniferyl | 400 | 519 | capped | 332
iron-iii-oxide | magnesium-carbonate | 9 | 0 | fixpoint | 0
iron-iii-oxide | mercury-sulfide | 8 | 0 | fixpoint | 0
iron-iii-oxide | nitrogen | 8 | 0 | fixpoint | 0
iron-iii-oxide | oleic-acid | 8 | 0 | fixpoint | 0
iron-iii-oxide | oxygen | 8 | 0 | fixpoint | 0
iron-iii-oxide | potassium-nitrate | 9 | 0 | fixpoint | 0
iron-iii-oxide | salicin | 400 | 631 | capped | 376
iron-iii-oxide | silver | 8 | 0 | fixpoint | 0
iron-iii-oxide | sodium-chloride | 9 | 0 | fixpoint | 0
iron-iii-oxide | sodium-nitrate | 9 | 0 | fixpoint | 0
iron-iii-oxide | starch-unit | 400 | 738 | capped | 372
iron-iii-oxide | sucrose | 400 | 403 | capped | 355
iron-iii-oxide | sulfur-s8 | 8 | 0 | fixpoint | 0
iron-iii-oxide | tannic-acid-core | 400 | 422 | capped | 374
iron-iii-oxide | triolein | 8 | 0 | fixpoint | 0
iron-iii-oxide | water | 12 | 4 | fixpoint | 0
iron-iii-oxide | zinc-sulfide | 8 | 0 | fixpoint | 0
lead-sulfide | lignin-monomer-coniferyl | 400 | 518 | capped | 331
lead-sulfide | magnesium-carbonate | 10 | 0 | fixpoint | 0
lead-sulfide | mercury-sulfide | 9 | 0 | fixpoint | 0
lead-sulfide | nitrogen | 9 | 0 | fixpoint | 0
lead-sulfide | oleic-acid | 9 | 0 | fixpoint | 0
lead-sulfide | oxygen | 9 | 0 | fixpoint | 0
lead-sulfide | potassium-nitrate | 10 | 0 | fixpoint | 0
lead-sulfide | salicin | 400 | 630 | capped | 375
lead-sulfide | silver | 9 | 0 | fixpoint | 0
lead-sulfide | sodium-chloride | 10 | 0 | fixpoint | 0
lead-sulfide | sodium-nitrate | 10 | 0 | fixpoint | 0
lead-sulfide | starch-unit | 400 | 737 | capped | 371
lead-sulfide | sucrose | 400 | 402 | capped | 354
lead-sulfide | sulfur-s8 | 9 | 0 | fixpoint | 0
lead-sulfide | tannic-acid-core | 400 | 421 | capped | 373
lead-sulfide | triolein | 9 | 0 | fixpoint | 0
lead-sulfide | water | 13 | 4 | fixpoint | 0
lead-sulfide | zinc-sulfide | 9 | 0 | fixpoint | 0
lignin-monomer-coniferyl | magnesium-carbonate | 400 | 517 | capped | 330
lignin-monomer-coniferyl | mercury-sulfide | 400 | 518 | capped | 331
lignin-monomer-coniferyl | nitrogen | 400 | 519 | capped | 330
lignin-monomer-coniferyl | oleic-acid | 400 | 454 | capped | 382
lignin-monomer-coniferyl | oxygen | 400 | 632 | capped | 233
lignin-monomer-coniferyl | potassium-nitrate | 400 | 517 | capped | 330
lignin-monomer-coniferyl | salicin | 400 | 740 | capped | 369
lignin-monomer-coniferyl | silver | 400 | 518 | capped | 331
lignin-monomer-coniferyl | sodium-chloride | 400 | 520 | capped | 327
lignin-monomer-coniferyl | sodium-nitrate | 400 | 517 | capped | 330
lignin-monomer-coniferyl | starch-unit | 400 | 640 | capped | 365
lignin-monomer-coniferyl | sucrose | 400 | 418 | capped | 345
lignin-monomer-coniferyl | sulfur-s8 | 400 | 518 | capped | 330
lignin-monomer-coniferyl | tannic-acid-core | 400 | 445 | capped | 344
lignin-monomer-coniferyl | triolein | 400 | 460 | capped | 374
lignin-monomer-coniferyl | water | 400 | 447 | capped | 353
lignin-monomer-coniferyl | zinc-sulfide | 400 | 518 | capped | 331
magnesium-carbonate | mercury-sulfide | 10 | 0 | fixpoint | 0
magnesium-carbonate | nitrogen | 10 | 0 | fixpoint | 0
magnesium-carbonate | oleic-acid | 10 | 0 | fixpoint | 0
magnesium-carbonate | oxygen | 10 | 0 | fixpoint | 0
magnesium-carbonate | potassium-nitrate | 11 | 0 | fixpoint | 0
magnesium-carbonate | salicin | 400 | 629 | capped | 374
magnesium-carbonate | silver | 10 | 0 | fixpoint | 0
magnesium-carbonate | sodium-chloride | 11 | 0 | fixpoint | 0
magnesium-carbonate | sodium-nitrate | 11 | 0 | fixpoint | 0
magnesium-carbonate | starch-unit | 400 | 736 | capped | 370
magnesium-carbonate | sucrose | 400 | 401 | capped | 353
magnesium-carbonate | sulfur-s8 | 10 | 0 | fixpoint | 0
magnesium-carbonate | tannic-acid-core | 400 | 420 | capped | 372
magnesium-carbonate | triolein | 10 | 0 | fixpoint | 0
magnesium-carbonate | water | 14 | 4 | fixpoint | 0
magnesium-carbonate | zinc-sulfide | 10 | 0 | fixpoint | 0
mercury-sulfide | nitrogen | 9 | 0 | fixpoint | 0
mercury-sulfide | oleic-acid | 9 | 0 | fixpoint | 0
mercury-sulfide | oxygen | 9 | 0 | fixpoint | 0
mercury-sulfide | potassium-nitrate | 10 | 0 | fixpoint | 0
mercury-sulfide | salicin | 400 | 630 | capped | 375
mercury-sulfide | silver | 9 | 0 | fixpoint | 0
mercury-sulfide | sodium-chloride | 10 | 0 | fixpoint | 0
mercury-sulfide | sodium-nitrate | 10 | 0 | fixpoint | 0
mercury-sulfide | starch-unit | 400 | 737 | capped | 371
mercury-sulfide | sucrose | 400 | 402 | capped | 354
mercury-sulfide | sulfur-s8 | 9 | 0 | fixpoint | 0
mercury-sulfide | tannic-acid-core | 400 | 421 | capped | 373
mercury-sulfide | triolein | 9 | 0 | fixpoint | 0
mercury-sulfide | water | 13 | 4 | fixpoint | 0
mercury-sulfide | zinc-sulfide | 9 | 0 | fixpoint | 0
nitrogen | oleic-acid | 9 | 0 | fixpoint | 0
nitrogen | oxygen | 9 | 0 | fixpoint | 0
nitrogen | potassium-nitrate | 10 | 0 | fixpoint | 0
nitrogen | salicin | 400 | 630 | capped | 375
nitrogen | silver | 9 | 0 | fixpoint | 0
nitrogen | sodium-chloride | 10 | 0 | fixpoint | 0
nitrogen | sodium-nitrate | 10 | 0 | fixpoint | 0
nitrogen | starch-unit | 400 | 737 | capped | 371
nitrogen | sucrose | 400 | 402 | capped | 354
nitrogen | sulfur-s8 | 9 | 0 | fixpoint | 0
nitrogen | tannic-acid-core | 400 | 421 | capped | 373
nitrogen | triolein | 9 | 0 | fixpoint | 0
nitrogen | water | 15 | 8 | fixpoint | 0
nitrogen | zinc-sulfide | 9 | 0 | fixpoint | 0
oleic-acid | oxygen | 9 | 0 | fixpoint | 0
oleic-acid | potassium-nitrate | 10 | 0 | fixpoint | 0
oleic-acid | salicin | 400 | 744 | capped | 360
oleic-acid | silver | 9 | 0 | fixpoint | 0
oleic-acid | sodium-chloride | 10 | 0 | fixpoint | 0
oleic-acid | sodium-nitrate | 10 | 0 | fixpoint | 0
oleic-acid | starch-unit | 400 | 774 | capped | 366
oleic-acid | sucrose | 400 | 800 | capped | 346
oleic-acid | sulfur-s8 | 9 | 0 | fixpoint | 0
oleic-acid | tannic-acid-core | 400 | 540 | capped | 367
oleic-acid | triolein | 9 | 0 | fixpoint | 0
oleic-acid | water | 400 | 1091 | capped | 209
oleic-acid | zinc-sulfide | 9 | 0 | fixpoint | 0
oxygen | potassium-nitrate | 10 | 0 | fixpoint | 0
oxygen | salicin | 400 | 629 | capped | 373
oxygen | silver | 9 | 0 | fixpoint | 0
oxygen | sodium-chloride | 10 | 0 | fixpoint | 0
oxygen | sodium-nitrate | 10 | 0 | fixpoint | 0
oxygen | starch-unit | 400 | 740 | capped | 369
oxygen | sucrose | 400 | 401 | capped | 350
oxygen | sulfur-s8 | 10 | 1 | fixpoint | 0
oxygen | tannic-acid-core | 400 | 420 | capped | 371
oxygen | triolein | 9 | 0 | fixpoint | 0
oxygen | water | 12 | 4 | fixpoint | 0
oxygen | zinc-sulfide | 9 | 0 | fixpoint | 0
potassium-nitrate | salicin | 400 | 629 | capped | 374
potassium-nitrate | silver | 10 | 0 | fixpoint | 0
potassium-nitrate | sodium-chloride | 11 | 0 | fixpoint | 0
potassium-nitrate | sodium-nitrate | 10 | 0 | fixpoint | 0
potassium-nitrate | starch-unit | 400 | 736 | capped | 370
potassium-nitrate | sucrose | 400 | 401 | capped | 353
potassium-nitrate | sulfur-s8 | 10 | 0 | fixpoint | 0
potassium-nitrate | tannic-acid-core | 400 | 420 | capped | 372
potassium-nitrate | triolein | 10 | 0 | fixpoint | 0
potassium-nitrate | water | 14 | 4 | fixpoint | 0
potassium-nitrate | zinc-sulfide | 10 | 0 | fixpoint | 0
salicin | silver | 400 | 630 | capped | 375
salicin | sodium-chloride | 400 | 629 | capped | 374
salicin | sodium-nitrate | 400 | 629 | capped | 374
salicin | starch-unit | 400 | 720 | capped | 331
salicin | sucrose | 400 | 402 | capped | 299
salicin | sulfur-s8 | 400 | 630 | capped | 375
salicin | tannic-acid-core | 400 | 526 | capped | 302
salicin | triolein | 400 | 643 | capped | 348
salicin | water | 400 | 630 | capped | 370
salicin | zinc-sulfide | 400 | 630 | capped | 375
silver | sodium-chloride | 10 | 0 | fixpoint | 0
silver | sodium-nitrate | 10 | 0 | fixpoint | 0
silver | starch-unit | 400 | 737 | capped | 371
silver | sucrose | 400 | 402 | capped | 354
silver | sulfur-s8 | 9 | 0 | fixpoint | 0
silver | tannic-acid-core | 400 | 421 | capped | 373
silver | triolein | 9 | 0 | fixpoint | 0
silver | water | 13 | 4 | fixpoint | 0
silver | zinc-sulfide | 9 | 0 | fixpoint | 0
sodium-chloride | sodium-nitrate | 10 | 0 | fixpoint | 0
sodium-chloride | starch-unit | 400 | 736 | capped | 370
sodium-chloride | sucrose | 400 | 401 | capped | 353
sodium-chloride | sulfur-s8 | 10 | 0 | fixpoint | 0
sodium-chloride | tannic-acid-core | 400 | 420 | capped | 372
sodium-chloride | triolein | 10 | 0 | fixpoint | 0
sodium-chloride | water | 17 | 12 | fixpoint | 0
sodium-chloride | zinc-sulfide | 10 | 0 | fixpoint | 0
sodium-nitrate | starch-unit | 400 | 736 | capped | 370
sodium-nitrate | sucrose | 400 | 401 | capped | 353
sodium-nitrate | sulfur-s8 | 10 | 0 | fixpoint | 0
sodium-nitrate | tannic-acid-core | 400 | 420 | capped | 372
sodium-nitrate | triolein | 10 | 0 | fixpoint | 0
sodium-nitrate | water | 14 | 4 | fixpoint | 0
sodium-nitrate | zinc-sulfide | 10 | 0 | fixpoint | 0
starch-unit | sucrose | 400 | 684 | capped | 295
starch-unit | sulfur-s8 | 400 | 737 | capped | 371
starch-unit | tannic-acid-core | 400 | 730 | capped | 334
starch-unit | triolein | 400 | 661 | capped | 364
starch-unit | water | 400 | 738 | capped | 367
starch-unit | zinc-sulfide | 400 | 737 | capped | 371
sucrose | sulfur-s8 | 400 | 402 | capped | 354
sucrose | tannic-acid-core | 400 | 518 | capped | 305
sucrose | triolein | 400 | 424 | capped | 344
sucrose | water | 400 | 402 | capped | 349
sucrose | zinc-sulfide | 400 | 402 | capped | 354
sulfur-s8 | tannic-acid-core | 400 | 421 | capped | 373
sulfur-s8 | triolein | 9 | 0 | fixpoint | 0
sulfur-s8 | water | 14 | 5 | fixpoint | 0
sulfur-s8 | zinc-sulfide | 9 | 0 | fixpoint | 0
tannic-acid-core | triolein | 400 | 428 | capped | 362
tannic-acid-core | water | 400 | 529 | capped | 369
tannic-acid-core | zinc-sulfide | 400 | 421 | capped | 373
triolein | water | 400 | 896 | capped | 300
triolein | zinc-sulfide | 9 | 0 | fixpoint | 0
water | zinc-sulfide | 13 | 4 | fixpoint | 0
